EmployeeNumber,Department,job_role,hire_date,salary,experience_years,PerformanceRating,remote_work,attrition,Skills,OverTime
101,Research & Development,Data Analyst,3/15/2021,60000,3,4,Yes,No,"Python, SQL, Tableau, Statistics, Data Visualization",Yes
102,Human Resources,HR Executive,7/10/2020,45000,4,3,No,No,"Recruitment, Payroll, Employee Relations, Onboarding",No
103,Research & Development,Accountant,1/20/2019,55000,5,4,No,No,"Excel, Tally, Taxation, Audit, Financial Reporting",No
104,Research & Development,Data Scientist,6/5/2022,85000,2,5,Yes,No,"Machine Learning, Python, R, Deep Learning, NLP",Yes
105,Sales,Sales Manager,9/12/2018,70000,6,3,No,Yes,"CRM, Negotiation, Strategic Planning, Team Leadership",No
106,Sales,Marketing Specialist,11/1/2021,50000,3,4,Yes,No,"SEO, Content Strategy, Social Media, Google Analytics",Yes
107,Research & Development,Software Engineer,4/22/2017,90000,7,5,No,No,"Java, C++, System Design, Agile, Cloud Computing",No
108,Research & Development,Financial Analyst,2/10/2023,48000,1,3,Yes,No,"Financial Modeling, Valuation, Forecasting, Risk Analysis",Yes
109,Sales,Sales Executive,12/18/2020,42000,4,2,No,Yes,"Prospecting, Communication, Closing, Relationship Management",No
110,Human Resources,HR Manager,8/30/2016,75000,8,4,No,No,"CRM, Negotiation, Strategic Planning, Team Leadership",No
111,Research & Development,ML Engineer,10/14/2022,88000,2,5,Yes,No,"Machine Learning, Python, R, Deep Learning, NLP",Yes
112,Sales,Content Strategist,5/27/2019,52000,5,4,Yes,No,"Prospecting, Communication, Closing, Relationship Management",Yes
113,Human Resources,Operations Manager,3/9/2018,65000,6,3,No,No,"Supply Chain, Logistics, Process Optimization, Lean",No
114,Research & Development,Backend Developer,7/19/2021,72000,3,4,Yes,No,"Java,React,HTMLCSS,JavaScript",Yes
115,Research & Development,Auditor,11/23/2017,68000,7,3,No,Yes,"SEO, Content Strategy, Social Media, Google Analytics",No
