task_id,task_name,department,target_role,required_skills,task_complexity,estimated_hours,task_priority,task_duration,criticality
T_1001,Project Support 1,Research & Development,Research Scientist,"Python, Scientific Writing",High,47,High,Long,Non-critical
T_1002,Project Analysis 2,Sales,Sales Representative,Customer Service,Low,8,Medium,Midterm,Non-critical
T_1003,Project Analysis 3,Sales,Sales Executive,Negotiation,Low,5,High,Midterm,Critical
T_1004,Project Administrative 4,Research & Development,Healthcare Representative,"Patient Communication, Medical Knowledge",Low,8,Low,Midterm,Critical
T_1005,Project Field Work 5,Sales,Manager,"Leadership, Budgeting",Low,8,Low,Long,Non-critical
T_1006,Project Strategic 6,Research & Development,Research Scientist,Scientific Writing,Medium,15,Low,Short,Non-critical
T_1007,Project Strategic 7,Research & Development,Research Scientist,Python,Low,8,High,Long,Critical
T_1008,Project Support 8,Sales,Sales Executive,"CRM, Sales Pitch",High,68,Medium,Midterm,Critical
T_1009,Project Analysis 9,Sales,Manager,"Budgeting, Leadership",Low,7,Low,Short,Non-critical
T_1010,Project Strategic 10,Research & Development,Research Director,"Advanced R&D, Project Management",Medium,21,Medium,Short,Non-critical
T_1011,Project Field Work 11,Research & Development,Healthcare Representative,Compliance,High,91,Medium,Short,Critical
T_1012,Project Development 12,Research & Development,Laboratory Technician,"Safety Protocols, Equipment Calibration",High,82,Medium,Midterm,Non-critical
T_1013,Project Development 13,Research & Development,Research Director,Project Management,Low,2,Medium,Long,Critical
T_1014,Project Analysis 14,Human Resources,Human Resources,Payroll,High,47,Medium,Short,Non-critical
T_1015,Project Administrative 15,Research & Development,Research Scientist,Scientific Writing,Low,6,Low,Midterm,Non-critical
T_1016,Project Strategic 16,Sales,Sales Representative,Cold Calling,Medium,11,Medium,Midterm,Non-critical
T_1017,Project Field Work 17,Sales,Manager,"Budgeting, Strategic Planning",High,99,Medium,Midterm,Critical
T_1018,Project Analysis 18,Sales,Sales Executive,"Sales Pitch, Negotiation",High,74,Medium,Midterm,Non-critical
T_1019,Project Development 19,Research & Development,Research Director,"Project Management, Grant Writing",Medium,29,Low,Short,Critical
T_1020,Project Field Work 20,Sales,Sales Executive,"Negotiation, Sales Pitch",Medium,16,High,Long,Critical
T_1021,Project Analysis 21,Sales,Sales Executive,"Sales Pitch, Market Analysis",Low,9,High,Short,Non-critical
T_1022,Project Development 22,Research & Development,Healthcare Representative,"Compliance, Patient Communication",High,48,Medium,Midterm,Non-critical
T_1023,Project Strategic 23,Research & Development,Manufacturing Director,Lean Six Sigma,Medium,27,Medium,Short,Critical
T_1024,Project Administrative 24,Sales,Manager,Conflict Resolution,Medium,15,Low,Long,Critical
T_1025,Project Field Work 25,Human Resources,Human Resources,"Recruitment, Training",Medium,26,High,Long,Non-critical
T_1026,Project Development 26,Research & Development,Healthcare Representative,Patient Communication,High,85,Medium,Midterm,Critical
T_1027,Project Development 27,Research & Development,Laboratory Technician,Equipment Calibration,Medium,36,Medium,Midterm,Non-critical
T_1028,Project Field Work 28,Research & Development,Healthcare Representative,"Medical Knowledge, Patient Communication",Low,2,Medium,Midterm,Critical
